"","created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url"
"87","Fri Oct 20 09:12:48 +0000 2023","1.7152949898725E+18","🏆19:00 PSM Makassar vs Arema 0 : 3/4 LinkJoin Master303: https://t.co/c3oCXM6Tum  #BRILiga1 #psmmakassar #aremania #arema #matchday #parlaybola #prediksibola #sbobet #parlay #bolaparlay #judibola #taruhanparlay #bolanet #master303 https://t.co/UXHKdPwDPf","0","0","0","0","in","1.2107732155024E+18","1.7152949898725E+18","M303Bet","https://twitter.com/M303Bet/status/1715294989872463900"
"88","Fri Oct 20 09:12:11 +0000 2023","1.7152948320827E+18","@Pai_C1 makassar punya nih","0","0","0","0","in","184019081","1.7152751473123E+18","indraimel","https://twitter.com/indraimel/status/1715294832082731399"
"89","Fri Oct 20 09:11:35 +0000 2023","1.7152946814528E+18","@kondusivitas siapa mo na ajak duel di makassar nah?","0","1","0","0","in","610718025","1.7152919214916E+18","nvrmndiva","https://twitter.com/nvrmndiva/status/1715294681452753082"
"90","Fri Oct 20 09:10:08 +0000 2023","1.7152943171354E+18","@cgaretsaftrmeal Ayok bang udah ditunggu di makassar @jefrinichol","0","0","0","0","in","1.6559009711078E+18","1.7151735874754E+18","ucuplawas","https://twitter.com/ucuplawas/status/1715294317135409509"
"91","Fri Oct 20 09:09:26 +0000 2023","1.715294142254E+18","@jefrinichol Bang jago, ditunggu di makassar itu, jangan culun lah, masa culun sih LOOOL","0","0","0","0","in","1.671609352049E+18","1.7150047281225E+18","belangtompel","https://twitter.com/belangtompel/status/1715294142253961289"
"92","Fri Oct 20 09:08:48 +0000 2023","1.7152939833737E+18","pengen coto makassar tapi yang di kalibobo","0","0","0","0","in","1.6823814028247E+18","1.7152939833737E+18","nindaprly","https://twitter.com/nindaprly/status/1715293983373685076"
"93","Fri Oct 20 09:08:32 +0000 2023","1.7152939163361E+18","Pada Hari Jumat, 20 Oktober 2023, berlokasi di Jl. Sungai Limboto Makassar, Penanggung Jawab Jasa Raharja Samsat Makassar I, Andi Abdul Gafur, memastikan tersampaikannya bukti pembayaran SWDKLLJ atas STCK Kendaraan kepada pihak dealer CV Trijaya Honda Astra. https://t.co/pIrF2q4zGZ","0","1","0","0","in","1.0238284481821E+18","1.7152939163361E+18","JR_Sulsel","https://twitter.com/JR_Sulsel/status/1715293916336128177"
"94","Fri Oct 20 09:08:05 +0000 2023","1.7152937999107E+18","Hasanah gym makassar khusus perempuan https://t.co/CGsU5FwkGO","0","0","0","0","in","1.6236291334809E+18","1.7152937999107E+18","nurulmagfirafi3","https://twitter.com/nurulmagfirafi3/status/1715293799910686835"
"95","Fri Oct 20 09:05:19 +0000 2023","1.7152931051452E+18","17.05 Sudirman - Bulusaraung arus lalin terpantau ramai lancar. Gunakan lampu sen untuk pindah lajur jalan. #CCTVDiskominfoMKS #lalinMKS *MAM https://t.co/FGfTZlZaO0","0","0","0","0","in","2476319472","1.7152931051452E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715293105145188476"
"96","Fri Oct 20 09:04:25 +0000 2023","1.7152928784178E+18","@jefrinichol @HlGHTHERAPY Otw ke Makassar aja bang, katanya mau cacatin bapak orang?","0","0","0","0","in","2305298396","1.7146931893688E+18","Pakaluru_MKS","https://twitter.com/Pakaluru_MKS/status/1715292878417846382"
"97","Fri Oct 20 09:04:19 +0000 2023","1.7152928521909E+18","17.04 Boulevard - Pandang Raya arus lalin terpantau ramai lancar. Hindari menggunakan Handphone saat mengemudi. #CCTVDiskominfoMKS #lalinMKS *MAM https://t.co/g8VUtZIPbd","0","0","0","0","in","2476319472","1.7152928521909E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715292852190904676"
"98","Fri Oct 20 09:03:42 +0000 2023","1.7152926968927E+18","@PSM_Makassar @AremafcOfficial @Liga1Match @Indosiar   #BRILiga1   Big Match   #PSM #Arema #Indosiar https://t.co/54kltZgLrJ","0","0","0","0","en","4616918112","1.7152926968927E+18","SenjaSorre","https://twitter.com/SenjaSorre/status/1715292696892657901"
"99","Fri Oct 20 09:03:19 +0000 2023","1.7152926023992E+18","makassar pemadaman listrik bergilir cuman bikin emosi","0","0","0","0","in","1.5178658377007E+18","1.7152926023992E+18","dollarblades","https://twitter.com/dollarblades/status/1715292602399183003"
"100","Fri Oct 20 09:02:31 +0000 2023","1.715292401169E+18","Go 💛 F O L L O W  B a s e » Jakarta T e L e » https://t.co/sWnWmRLthY E x p o › 20-21 SoLo › 21-22 Jogja › 23-24 Bali › 26-27 Semarang › 28-29 Makassar  @SonniaSemarang  @KesayangnBpkmu https://t.co/IJG7K9pe0c","0","0","0","0","in","464642105","1.715292401169E+18","x_glorycity","https://twitter.com/x_glorycity/status/1715292401168986330"
"101","Fri Oct 20 09:01:40 +0000 2023","1.7152921879013E+18","17.01 Urip-KODAM terpantau ramai lancar. #CCTVDiskominfoMKS *er https://t.co/Go6xGOzLDE","0","0","0","0","in","2476319472","1.7152921879013E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715292187901259857"
"102","Fri Oct 20 09:01:20 +0000 2023","1.7152921022032E+18","17.00 Veteran-Kerung2 terpantau ramai lancar. Tampak bentor semakin di depan. #CCTVDiskominfoMKS *er https://t.co/zM72x9yK7l","0","0","0","0","in","2476319472","1.7152921022032E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715292102203175394"
"103","Fri Oct 20 09:01:01 +0000 2023","1.7152920218823E+18","17.00 Veteran - Sungai Saddang, kondisi lalu lintas terpantau lancar. Patuhi aturan berlalu lintas dijalan raya #CCTVDiskominfoMKS U7 https://t.co/FRirWvXlUh","0","0","0","0","in","2476319472","1.7152920218823E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715292021882261935"
"104","Fri Oct 20 09:00:50 +0000 2023","1.7152919749774E+18","17.00 Veteran-Andi Djemma terpantau ramai lancar. #CCTVDiskominfoMKS *er https://t.co/5LV4g4ooKa","0","0","0","0","in","2476319472","1.7152919749774E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715291974977360194"
"105","Fri Oct 20 09:00:48 +0000 2023","1.7152919695583E+18","17.00 S. Saddang-Latimojong terpantau ramai lancar. #CCTVDiskominfoMKS *er https://t.co/VtsOEMrTyA","0","0","0","0","in","2476319472","1.7152919695583E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715291969558323575"
"106","Fri Oct 20 09:00:37 +0000 2023","1.7152919214916E+18","Bang Jepri gak jadi ke Makassar?","0","17","5","15","in","1.6377089355192E+18","1.7152919214916E+18","kondusivitas","https://twitter.com/kondusivitas/status/1715291921491640602"
"107","Fri Oct 20 09:00:14 +0000 2023","1.7152918239405E+18","jumat jeon jungkook doona vidi avkor leunca firli jurusan prabowo korsel mom sorry menkopolhukam nabila hoshi nama shirtless yuuji makassar tantrum kura-kura zendaya dj jihoon jepri mahfud mendung minggu tolol raisa makestar bakri the corrs publish pks","0","0","2","3","in","1.4470543220432E+18","1.7152918239405E+18","RiiinAriin","https://twitter.com/RiiinAriin/status/1715291823940481312"
"108","Fri Oct 20 09:00:03 +0000 2023","1.7152917788347E+18","Pasangan Ganjar-Mahfud resmi daftar ke KPU, tim pemenangan Ganjar-Mahfud di Makassar segera dibentuk.  CARITAU selengkapnya di: https://t.co/lNWRlA9yaE https://t.co/RSWtglI5KS","0","0","0","0","in","1.4714298215488E+18","1.7152917788347E+18","caritaucom","https://twitter.com/caritaucom/status/1715291778834727021"
"109","Fri Oct 20 09:00:00 +0000 2023","1.7152917666712E+18","Dasell! 📢📢 CALLING FOR RIIZE COLLECTOR  Bingung nyari WL dimana?? Sini yuk join G0 RIIZE ONLY kitaa 🤗 Sering drop pisi murce2 🤩 ☑️Personal Or-der ☑️Rate Ren-dah 🇰🇷11.8🇹🇭450🇯🇵110🇮🇩3k 📍Makassar, JKT Link di rep ya @jeddongilvvvv https://t.co/Wg8By5JPTc","0","1","0","0","in","1.2452385940101E+18","1.7152917666712E+18","dagangkorea","https://twitter.com/dagangkorea/status/1715291766671241614"
"110","Fri Oct 20 08:58:39 +0000 2023","1.7152914254858E+18","samarinda ujan mulu, makassar kalah","0","0","0","0","in","1.6415389133482E+18","1.7152914254858E+18","shiruosha","https://twitter.com/shiruosha/status/1715291425485836636"
"111","Fri Oct 20 08:58:33 +0000 2023","1.7152914020396E+18","@linksaru Min request stw makassar donk.","0","0","0","0","en","1.5775800244502E+18","1.7096599514075E+18","MkwStw","https://twitter.com/MkwStw/status/1715291402039615743"
"112","Fri Oct 20 08:57:54 +0000 2023","1.715291240517E+18","Hai Kawan Laut Minhubksu mau menyampaikan Pengumuman penting nih bagi pengguna jasa Kepelautan Kantor Kesyahbandaran Utama Makassar😊  Mau tau? Yuk simak video berikut ini&gt &gt &gt    @kemenhub151 @djplkemenhub151 https://t.co/j3x4X2hdFR","0","0","0","1","in","1.0908938936405E+18","1.715291240517E+18","syahbandarmksr","https://twitter.com/syahbandarmksr/status/1715291240517009897"
"113","Fri Oct 20 08:57:50 +0000 2023","1.715291223509E+18","16.56 Toa Daeng - Abdesir, lalu lintas terpantau ramai lancar. Fokus berkendara sampai ketujuan #CCTVDiskominfoMKS U7 https://t.co/Dw6mg7vtVE","0","0","0","0","in","2476319472","1.715291223509E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715291223509045401"
"114","Fri Oct 20 08:57:35 +0000 2023","1.7152911590301E+18","@gocekannetijen Itu tetangga kue kak esa di Makassar , ayah nya pelatih adik gue pencak silat . Seru nih klo dtg ke kampung kami. Akan kU record dan kU share disini semua 👌🏻","0","0","0","0","in","1.5173534359175E+18","1.7151935329512E+18","Harymaguire12","https://twitter.com/Harymaguire12/status/1715291159030075433"
